date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:55	185637/185637	---M--	200	added ('OK')	image/gif	etag:%221990673fc66cb947787309089c430aee%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/our-powers/timezone.gif	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/our-powers/timezone.gif	(from https://Cyberium Kalho.la/es/)
23:53:56	194308/194308	---M--	200	added ('OK')	image/gif	etag:%2281b3e00752fb8f4f97187a6c762d1348%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/our-powers/costs.gif	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/our-powers/costs.gif	(from https://Cyberium Kalho.la/es/)
23:53:56	193201/193201	---M--	200	added ('OK')	image/gif	etag:%22d9df76a09fe8cce1b344a5a467454fc7%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/our-powers/quality.gif	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/our-powers/quality.gif	(from https://Cyberium Kalho.la/es/)
23:53:56	7418/7418	---M--	200	added ('OK')	image/png	etag:%222d3348f9ba1bdaa9396f77722f80913a%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-kickoff-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-kickoff-new.png	(from https://Cyberium Kalho.la/es/)
23:53:57	7226/7226	---M--	200	added ('OK')	image/png	etag:%22ec5ca4ad762e49a95c2dcc63cf3e701c%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-mainphase-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-mainphase-new.png	(from https://Cyberium Kalho.la/es/)
23:53:58	29845/29845	---M--	200	added ('OK')	image/png	etag:%220251d06eb0394d41d329ed4d9470bc6b%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/implementation-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/implementation-new.png	(from https://Cyberium Kalho.la/es/)
23:53:58	7550/7550	---M--	200	added ('OK')	image/png	etag:%22f181055ee14da8cf055f3540ed95f7b5%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-implementation-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-implementation-new.png	(from https://Cyberium Kalho.la/es/)
23:53:59	18303/18303	---M--	200	added ('OK')	image/png	etag:%226c5f67ac54a69a50cf404ece0079537b%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-qa-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-qa-new.png	(from https://Cyberium Kalho.la/es/)
23:53:59	24127/24127	---M--	200	added ('OK')	image/png	etag:%2248ed8c2a5e0e5cb67de3f3d6ef8716de%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/delivery-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/delivery-new.png	(from https://Cyberium Kalho.la/es/)
23:54:00	7441/7441	---M--	200	added ('OK')	image/png	etag:%228518c83fb0693029a0b6c61de6b19c89%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-delivery-new.png	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/static/img/home/how-we-do/ico-delivery-new.png	(from https://Cyberium Kalho.la/es/)
23:54:01	535553/535553	---M--	200	added ('OK')	image/jpeg	etag:%224274df4e305d6e31efff1149ed15fc69%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_0OgsCbf.jpg	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_0OgsCbf.jpg	(from https://Cyberium Kalho.la/es/)
23:54:02	455331/455331	---M--	200	added ('OK')	image/jpeg	etag:%2217605c4041625b024bfe5871cefc4f81%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_KZ1xsXD.jpg	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_KZ1xsXD.jpg	(from https://Cyberium Kalho.la/es/)
23:54:03	623039/623039	---M--	200	added ('OK')	image/jpeg	etag:%22383ba7870b4afede51a4d1ed4750f1d7%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_IU8Az3a.jpg	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_IU8Az3a.jpg	(from https://Cyberium Kalho.la/es/)
23:54:03	287273/287273	---M--	200	added ('OK')	image/jpeg	etag:%22c0dfc5a16825c4fe2aff3abb09a7aa22%22	https://we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_CrP0oqR.jpg	C:/Users/user/Desktop/prueba1/we-are-Cyberium Kalho.s3.amazonaws.com/media/projects/efa7dab1-92e1-4ca3-b3ac-66e81931af68/thumbnail-picture_CrP0oqR.jpg	(from https://Cyberium Kalho.la/es/)
